DATE,other,AVG_CURRENT_PRICE,AVG_OLD_PRICE
2024-04-26,SALE,4.566,5.482
2024-04-27,SALE,4.566,5.482
2024-04-28,SALE,4.566,5.482
2024-04-29,SALE,4.566,5.482
2024-04-30,SALE,4.566,5.482
2024-05-01,SALE,4.566,5.482
2024-05-02,SALE,6.310689655172414,7.710689655172414
2024-05-03,SALE,6.310689655172414,7.648620689655172
2024-05-04,SALE,6.310689655172414,7.648620689655172
2024-05-05,SALE,6.310689655172414,7.648620689655172
2024-05-06,SALE,6.310689655172414,7.648620689655172
2024-05-07,SALE,6.310689655172414,7.648620689655172
2024-05-08,SALE,6.310689655172414,7.648620689655172
2024-05-09,SALE,5.642777777777778,6.923333333333334
2024-05-11,SALE,5.642777777777778,6.923333333333334
2024-05-12,SALE,5.642777777777778,6.923333333333334
2024-05-13,SALE,5.642777777777778,6.923333333333334
2024-05-17,SALE,5.506666666666667,6.773333333333333
2024-05-18,SALE,5.506666666666667,6.773333333333333
2024-05-19,SALE,5.506666666666667,6.773333333333333
2024-05-20,SALE,5.506666666666667,6.773333333333333
2024-05-21,SALE,5.506666666666667,6.773333333333333
2024-05-22,SALE,5.506666666666667,6.773333333333333
2024-05-23,SALE,5.513076923076923,6.843846153846154
2024-05-24,SALE,5.513076923076923,6.843846153846154
2024-05-25,SALE,5.513076923076923,6.843846153846154
2024-05-26,SALE,5.513076923076923,6.843846153846154
2024-05-27,SALE,5.513076923076923,6.843846153846154
2024-05-28,SALE,5.513076923076923,6.843846153846154
2024-05-29,SALE,5.513076923076923,6.843846153846154
2024-05-30,SALE,5.147096774193549,6.7706451612903225
2024-05-31,SALE,5.147096774193549,6.7706451612903225
2024-06-01,SALE,5.147096774193549,6.7706451612903225
2024-06-02,SALE,5.147096774193549,6.7706451612903225
2024-06-03,SALE,5.147096774193549,6.7706451612903225
2024-06-04,SALE,5.147096774193549,6.7706451612903225
2024-06-05,SALE,5.147096774193549,6.7706451612903225
2024-06-06,SALE,5.432105263157895,6.942631578947368
2024-06-07,SALE,5.432105263157895,6.942631578947368
2024-06-08,SALE,5.432105263157895,6.942631578947368
2024-06-09,SALE,5.432105263157895,6.942631578947368
2024-06-10,SALE,6.298556430446194,8.069107611548556
2024-06-11,SALE,5.408094223484849,6.75687559354226
2024-06-12,SALE,5.481398692810457,6.8649279161205765
2024-06-13,SALE,5.568056972789115,6.863312020460358
2024-06-14,SALE,5.5393288020390825,6.841811191798377
2024-06-15,SALE,5.537546610169492,6.83950575202386
2024-06-16,SALE,5.53283961066441,6.834591489361703
2024-06-17,SALE,5.522166525063722,6.823229389149936
2024-06-18,SALE,5.5342633361558,6.836355896126011
2024-06-19,SALE,5.5810358391608395,6.890610989010988
2024-06-20,SALE,5.502155963302752,6.7438726245505904
2024-06-21,SALE,5.503396130346232,6.742890825217837
2024-06-22,SALE,5.439592760180996,6.6623225287972145
2024-06-23,SALE,5.603496732026144,6.828346972176759
2024-06-24,SALE,5.5008790650406505,6.740403885480572
2024-06-25,SALE,5.5284537185660785,6.766838987614432
2024-06-26,SALE,5.514439370877728,6.756100051046452
2024-06-27,SALE,5.723546704599337,7.00245588936576
2024-06-28,SALE,5.734500000000001,7.019415708812261
2024-06-29,SALE,5.423834702258727,6.636224173553718
2024-06-30,SALE,5.729791666666666,7.011952380952381
2024-07-01,SALE,5.736433952787544,7.012525252525252
2024-07-02,SALE,5.733730196831493,7.021370656370657
2024-07-03,SALE,5.7960531496062995,7.091
2024-07-04,SALE,5.636427174975562,6.862645034414946
2024-07-05,SALE,5.696803534303534,6.900910041841005
2024-07-06,SALE,5.6861197007481294,6.9350878073256395
2024-07-07,SALE,5.6875,6.92259765625
2024-07-08,SALE,5.693264907135875,6.930884955752212
2024-07-09,SALE,5.738851107676456,6.979447599380485
2024-07-10,SALE,5.683208919049927,6.918015602145295
2024-07-11,SALE,5.858167388167389,7.120440251572328
2024-07-12,SALE,5.85596751075012,7.116368876080692
2024-07-13,SALE,5.942581120943953,7.220894710825507
2024-07-14,SALE,5.828870029097963,7.082300194931774
2024-07-15,SALE,5.85217619047619,7.112392344497607
2024-07-16,SALE,5.5672401614530775,6.786144089294774
2024-07-17,SALE,5.844966856060606,7.104747859181732
2024-07-18,SALE,5.559343434343434,6.799299492385787
2024-07-19,SALE,5.677928741092637,6.93855369928401
2024-07-20,SALE,5.679706021811285,6.940795616960457
2024-07-21,SALE,5.681335650446872,6.942654690618762
2024-07-22,SALE,5.482507571168989,6.772898903775883
2024-07-24,SALE,5.750421875,7.050167539267015
2024-07-25,SALE,5.627663407102419,6.81674430641822
2024-07-26,SALE,5.642465960665659,6.8369421906693715
2024-07-27,SALE,5.669812182741117,6.844604389994895
2024-07-28,SALE,5.9298062953995165,7.184009750152347
2024-07-29,SALE,5.658103616813294,6.843253071253072
2024-07-30,SALE,5.730505876341339,6.9098312883435575
2024-07-31,SALE,5.655657894736842,6.839284664380205
2024-08-01,SALE,5.7345725451880805,6.950034398034398
2024-08-02,SALE,5.705033621517772,6.924693384838243
2024-08-03,SALE,5.939040805511393,7.162985153764581
2024-08-04,SALE,5.701184272856467,6.913928571428571
2024-08-05,SALE,5.677545281220209,6.879669223394055
2024-08-06,SALE,5.737859209257473,6.960358700920988
2024-08-07,SALE,5.75544450025113,6.983055555555556
2024-08-08,SALE,5.520762536261914,6.847370385732061
2024-08-09,SALE,5.534528458662235,6.862750311591192
2024-08-10,SALE,5.521908141962422,6.845327766179541
2024-08-11,SALE,5.535693521594685,6.864505813953488
2024-08-12,SALE,5.524017595307918,6.849367406786762
2024-08-13,SALE,5.53685844370861,6.866576986754968
2024-08-14,SALE,5.552710843373494,6.887938898450947
2024-08-15,SALE,5.579477379095164,6.902203588143526
2024-08-16,SALE,5.58093141075604,6.9039088074824635
2024-08-17,SALE,5.690734251147267,7.0544513975803085
2024-08-18,SALE,5.5747675401521555,6.906141166525782
2024-08-19,SALE,5.573504273504274,6.896445221445222
2024-08-20,SALE,5.61776347546259,6.9649758648431215
2024-08-21,SALE,5.564010132501949,6.894049103663289
2024-08-22,SALE,5.385255414793625,6.624834491213731
2024-08-23,SALE,5.376175020542317,6.636035332785538
2024-08-24,SALE,5.425245327102804,6.692200155763239
2024-08-25,SALE,5.421021044427124,6.687798129384255
2024-08-26,SALE,5.553724890829694,6.862903930131004
2024-08-28,SALE,5.4939464882943145,6.786011705685619
2024-08-29,SALE,5.5034222560975605,6.833494664634147
2024-08-30,SALE,5.297562125107112,6.569061696658098
2024-08-31,SALE,5.509110776186888,6.843703843255463
2024-09-01,SALE,5.449692496924969,6.777462074620746
2024-09-02,SALE,5.5318150554069545,6.874038975926633
2024-09-03,SALE,5.513203300825206,6.850476369092273
2024-09-04,SALE,5.525749329244921,6.871651973936374
2024-09-05,SALE,5.650726837060703,6.956521565495208
2024-09-06,SALE,5.720902255639098,7.0381638306292045
2024-09-07,SALE,5.746481262327416,7.068544378698224
2024-09-08,SALE,5.745363349131122,7.066070300157978
2024-09-09,SALE,5.740582677165354,7.06138188976378
2024-09-10,SALE,5.745499606608969,7.066243115656963
2024-09-11,SALE,5.502746419545072,6.751672283066554
2024-09-12,SALE,5.430308039068369,6.843343350864012
2024-09-13,SALE,5.481181852840259,6.907842165459398
2024-09-14,SALE,5.505208012326657,6.913497688751925
2024-09-15,SALE,5.426197549201634,6.843991830672112
2024-09-16,SALE,5.427052044609666,6.845204460966542
2024-09-17,SALE,5.4384017923823755,6.862655958162122
2024-09-18,SALE,5.407508392390899,6.825956732562476
2024-09-19,SALE,5.4966883380739535,6.809146688338075
2024-09-20,SALE,5.49870182555781,6.814389452332658
2024-09-21,SALE,5.4754396055875105,6.787543138866065
2024-09-22,SALE,5.490706742485784,6.807676685621446
2024-09-23,SALE,5.487174177831912,6.805355257815672
2024-09-24,SALE,5.472544715447155,6.791430894308943
2024-09-25,SALE,5.462093686354379,6.783409368635438
2024-09-26,SALE,5.75314789687924,7.174307692307692
2024-09-27,SALE,5.661687525232136,7.043782801776342
2024-09-28,SALE,5.656653209527654,7.038050060557126
2024-09-29,SALE,5.726210826210827,7.103113553113553
2024-09-30,SALE,5.661661303298471,7.043668543845535
2024-10-01,SALE,5.675038665038665,7.058579568579569
2024-10-02,SALE,5.6594569589702335,7.039718423169751
2024-10-03,SALE,5.653468118195957,7.100186625194401
2024-10-04,SALE,5.655749901068461,7.1098258804907
2024-10-05,SALE,5.631958398744112,7.076459968602825
2024-10-06,SALE,5.6600851063829785,7.108800773694391
2024-10-07,SALE,5.718482567353408,7.182472266244058
2024-10-08,SALE,5.65970542635659,7.110193798449612
2024-10-09,SALE,5.652390300230947,7.099199384141648
2024-10-10,SALE,5.369900398406375,6.787561752988047
2024-10-11,SALE,5.337530145530145,6.754731808731809
2024-10-12,SALE,5.334348171701113,6.745588235294118
2024-10-13,SALE,5.329489108910892,6.739409900990099
2024-10-14,SALE,5.347625754527163,6.760164989939637
2024-10-16,SALE,5.350758538522637,6.754320889594917
2024-10-17,SALE,5.556174686615447,6.964193287505055
2024-10-18,SALE,5.539745795854517,6.935983574501369
2024-10-19,SALE,5.504928832858886,6.897035380235868
2024-10-20,SALE,5.500915939730373,6.8913084853291044
2024-10-21,SALE,5.541020249221184,6.9311604361370724
2024-10-22,SALE,5.542598210812914,6.9329404900816805
2024-10-23,SALE,5.589328832406672,6.995679110405083
2024-10-24,SALE,5.402080387048754,6.778161819537658
2024-10-25,SALE,5.422201210287444,6.815018910741301
2024-10-26,SALE,5.355757692307693,6.742865384615385
2024-10-27,SALE,5.3714057750759885,6.7665387537993915
2024-10-28,SALE,5.385739776951674,6.77585501858736
2024-10-29,SALE,5.390513011152416,6.782174721189591
2024-10-30,SALE,5.385571646341464,6.781787347560975
2024-10-31,SALE,5.3286391007627465,6.579714859437751
2024-11-01,SALE,5.311093439363817,6.558015115354017
2024-11-02,SALE,5.3070193861066235,6.562763636363637
2024-11-03,SALE,5.306193136472466,6.556666666666667
2024-11-04,SALE,5.312630537974684,6.560834982192323
2024-11-05,SALE,5.313166007905138,6.561688414393042
2024-11-06,SALE,5.364661906761865,6.608193277310924
2024-11-07,SALE,5.2489029231324436,6.492551499819299
2024-11-08,SALE,5.2361866197183105,6.464333098094567
2024-11-09,SALE,5.239512793550649,6.4666982788900595
2024-11-10,SALE,5.224759395855287,6.457403237156932
2024-11-11,SALE,5.241001400560225,6.47279298245614
2024-11-12,SALE,5.244190609670638,6.476678370786518
